Year,Date,Plot,Sub_Plot,ID,Treatment,Fire,T+F,Group,Species,Coverage
1,2021-10-11,1,3,1-3-S,S,Sp,S-Sp,Forb,Rumex hastatulus,1
1,2021-10-11,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Grass,Paspalum setaceum,7
1,2021-10-11,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Grass,Paspalum notatum,5
1,2021-10-11,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Forb,UK - Euphorb,5
1,2021-10-11,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Sedge,Bulbostylis spp.,4
1,2021-10-11,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Forb,Richardia spp.,4
1,2021-10-11,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Bare,Bareground,3
1,2021-10-11,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Sedge,Cyperus esculentus,2
1,2021-10-11,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Forb,Dichondra spp.,2
1,2021-10-11,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Forb,UK - Mimosa,2
1,2021-10-11,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Grass,Cynodon dactylon,1
1,2021-10-11,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Forb,Oenothera laciniata,1
1,2021-10-11,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Forb,Oxalis corniculata,1
1,2021-10-11,1,5,1-5-S,S,Sp,S-Sp,Grass,Eragrostis spectabilis,9
1,2021-10-11,1,5,1-5-S,S,Sp,S-Sp,Forb,Pityopsis graminifolia,6
1,2021-10-11,1,5,1-5-S,S,Sp,S-Sp,Forb,Liatris gracilis,5
1,2021-10-11,1,5,1-5-S,S,Sp,S-Sp,Forb,Oxalis corniculata,5
1,2021-10-11,1,5,1-5-S,S,Sp,S-Sp,Grass,Paspalum notatum,5
1,2021-10-11,1,5,1-5-S,S,Sp,S-Sp,Grass,Paspalum setaceum,4
1,2021-10-11,1,5,1-5-S,S,Sp,S-Sp,Bare,Bareground,2
1,2021-10-11,1,5,1-5-S,S,Sp,S-Sp,Sedge,Bulbostylis spp.,2
1,2021-10-11,1,5,1-5-S,S,Sp,S-Sp,Forb,Dichondra spp.,2
1,2021-10-11,1,5,1-5-S,S,Sp,S-Sp,Sedge,Cyperus esculentus,1
1,2021-10-11,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Bare,Bareground,8
1,2021-10-11,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Forb,Dichondra spp.,8
1,2021-10-11,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Sedge,Bulbostylis spp.,5
1,2021-10-11,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Grass,Paspalum notatum,5
1,2021-10-11,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Grass,Paspalum setaceum,5
1,2021-10-11,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Sedge,Cyperus esculentus,2
1,2021-10-11,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Forb,Rumex hastatulus,1
1,2021-10-11,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Grass,Paspalum setaceum,7
1,2021-10-11,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Grass,Paspalum notatum,6
1,2021-10-11,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Sedge,Bulbostylis spp.,5
1,2021-10-11,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Bare,Bareground,4
1,2021-10-11,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Forb,Dichondra spp.,4
1,2021-10-11,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Forb,Erigeron canadensis,4
1,2021-10-11,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Forb,Oxalis corniculata,3
1,2021-10-11,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Forb,Solanum viarum,1
1,2021-10-11,1,8,1-8-C,C,Sp,C-Sp,Grass,Paspalum notatum,7
1,2021-10-11,1,8,1-8-C,C,Sp,C-Sp,Grass,Paspalum setaceum,6
1,2021-10-11,1,8,1-8-C,C,Sp,C-Sp,Bare,Bareground,5
1,2021-10-11,1,8,1-8-C,C,Sp,C-Sp,Forb,Richardia spp.,5
1,2021-10-11,1,8,1-8-C,C,Sp,C-Sp,Forb,Rumex hastatulus,5
1,2021-10-11,1,8,1-8-C,C,Sp,C-Sp,Forb,Oxalis corniculata,4
1,2021-10-11,1,8,1-8-C,C,Sp,C-Sp,Forb,UK - Euphorb,4
1,2021-10-11,1,8,1-8-C,C,Sp,C-Sp,Sedge,Bulbostylis spp.,3
1,2021-10-11,1,8,1-8-C,C,Sp,C-Sp,Grass,Cynodon dactylon,2
1,2021-10-11,1,8,1-8-C,C,Sp,C-Sp,Forb,Lactuca canadensis,2
1,2021-10-11,1,8,1-8-C,C,Sp,C-Sp,Forb,Oenothera laciniata,2
1,2021-10-11,1,8,1-8-C,C,Sp,C-Sp,Forb,Oenothera simulans,2
1,2021-10-11,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Forb,Dichondra spp.,9
1,2021-10-11,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Bare,Bareground,8
1,2021-10-11,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Grass,Paspalum setaceum,7
1,2021-10-11,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Sedge,Cyperus esculentus,4
1,2021-10-11,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Grass,Paspalum notatum,4
1,2021-10-11,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Sedge,Bulbostylis spp.,3
1,2021-10-11,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Forb,Oxalis corniculata,2
1,2021-10-11,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Forb,Richardia spp.,1
1,2021-10-11,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Grass,Paspalum notatum,8
1,2021-10-11,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Grass,Paspalum setaceum,7
1,2021-10-11,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Forb,Oxalis corniculata,6
1,2021-10-11,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Sedge,Bulbostylis spp.,4
1,2021-10-11,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Bare,Bareground,3
1,2021-10-11,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Forb,Dichondra spp.,1
1,2021-10-11,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Forb,Galactia spp.,1
1,2021-10-11,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Forb,Phytolacca americana,1
1,2021-10-11,1,11,1-11-C,C,Sp,C-Sp,Forb,Richardia spp.,6
1,2021-10-11,1,11,1-11-C,C,Sp,C-Sp,Bare,Bareground,5
1,2021-10-11,1,11,1-11-C,C,Sp,C-Sp,Forb,Oxalis corniculata,5
1,2021-10-11,1,11,1-11-C,C,Sp,C-Sp,Grass,Paspalum setaceum,5
1,2021-10-11,1,11,1-11-C,C,Sp,C-Sp,Sedge,Cyperus esculentus,4
1,2021-10-11,1,11,1-11-C,C,Sp,C-Sp,Grass,Paspalum notatum,4
1,2021-10-11,1,11,1-11-C,C,Sp,C-Sp,Forb,Rumex hastatulus,4
1,2021-10-11,1,11,1-11-C,C,Sp,C-Sp,Sedge,Bulbostylis spp.,3
1,2021-10-11,1,11,1-11-C,C,Sp,C-Sp,Grass,Cynodon dactylon,2
1,2021-10-11,1,11,1-11-C,C,Sp,C-Sp,Forb,Dichondra spp.,2
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Grass,Eragrostis spectabilis,9
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Grass,Paspalum setaceum,7
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Grass,Paspalum notatum,6
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Forb,Oxalis corniculata,5
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Forb,Liatris gracilis,4
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Bare,Bareground,3
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Sedge,Cyperus esculentus,3
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Forb,Pityopsis graminifolia,3
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Forb,Rumex hastatulus,3
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Grass,Sorghastrum secundum,3
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Sedge,Bulbostylis spp.,2
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Forb,Dichondra spp.,2
1,2021-10-11,1,12,1-12-S,S,Sp,S-Sp,Forb,Oenothera laciniata,2
1,2021-10-11,1,13,1-13-C,C,Sp,C-Sp,Grass,Paspalum notatum,8
1,2021-10-11,1,13,1-13-C,C,Sp,C-Sp,Forb,Oxalis corniculata,7
1,2021-10-11,1,13,1-13-C,C,Sp,C-Sp,Bare,Bareground,5
1,2021-10-11,1,13,1-13-C,C,Sp,C-Sp,Forb,Erigeron canadensis,5
1,2021-10-11,1,13,1-13-C,C,Sp,C-Sp,Forb,Rumex hastatulus,5
1,2021-10-11,1,13,1-13-C,C,Sp,C-Sp,Sedge,Bulbostylis spp.,4
1,2021-10-11,1,13,1-13-C,C,Sp,C-Sp,Forb,Dichondra spp.,4
1,2021-10-11,1,13,1-13-C,C,Sp,C-Sp,Grass,Cynodon dactylon,3
1,2021-10-11,1,13,1-13-C,C,Sp,C-Sp,Forb,Lactuca canadensis,3
1,2021-10-11,1,13,1-13-C,C,Sp,C-Sp,Forb,Richardia spp.,3
1,2021-10-11,1,14,1-14-Tw,Tw,Sp,Tw-Sp,Grass,Paspalum notatum,8
1,2021-10-11,1,14,1-14-Tw,Tw,Sp,Tw-Sp,Forb,Oxalis corniculata,7
1,2021-10-11,1,14,1-14-Tw,Tw,Sp,Tw-Sp,Bare,Bareground,5
1,2021-10-11,1,14,1-14-Tw,Tw,Sp,Tw-Sp,Forb,Richardia spp.,5
1,2021-10-11,1,14,1-14-Tw,Tw,Sp,Tw-Sp,Sedge,Bulbostylis spp.,4
1,2021-10-11,1,14,1-14-Tw,Tw,Sp,Tw-Sp,Forb,Dichondra spp.,3
1,2021-10-11,1,14,1-14-Tw,Tw,Sp,Tw-Sp,Grass,Andropogon virginicus,2
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Grass,Eragrostis spectabilis,9
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Grass,Paspalum notatum,6
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Forb,Richardia spp.,5
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Grass,Paspalum setaceum,4
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Forb,Oxalis corniculata,3
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Forb,Pityopsis graminifolia,3
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Bare,Bareground,2
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Sedge,Bulbostylis spp.,2
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Sedge,Cyperus esculentus,2
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Forb,Dichondra spp.,2
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Forb,Rumex hastatulus,2
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Grass,Sorghastrum secundum,2
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Grass,Andropogon ternarius,1
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Grass,Aristida stricta,1
1,2021-10-11,1,15,1-15-S,S,Sp,S-Sp,Forb,Oenothera laciniata,1
1,2021-10-11,1,16,1-16-Tsp,Tsp,Sp,Tsp-Sp,Forb,Dichondra spp.,9
1,2021-10-11,1,16,1-16-Tsp,Tsp,Sp,Tsp-Sp,Sedge,Cyperus esculentus,4
1,2021-10-11,1,16,1-16-Tsp,Tsp,Sp,Tsp-Sp,Grass,Cynodon dactylon,3
1,2021-10-12,1,16,1-16-Tsp,Tsp,Sp,Tsp-Sp,Grass,Paspalum notatum,1
1,2021-10-11,1,16,1-16-Tsp,Tsp,Sp,Tsp-Sp,Forb,Richardia spp.,1
1,2021-10-11,1,16,1-16-Tsp,Tsp,Sp,Tsp-Sp,Forb,UK - White Forb,1
1,2021-10-11,2,1,2-1-Tw,Tw,W,Tw-W,Forb,Oxalis corniculata,8
1,2021-10-11,2,1,2-1-Tw,Tw,W,Tw-W,Grass,Paspalum setaceum,6
1,2021-10-11,2,1,2-1-Tw,Tw,W,Tw-W,Bare,Bareground,5
1,2021-10-11,2,1,2-1-Tw,Tw,W,Tw-W,Grass,Paspalum notatum,5
1,2021-10-11,2,1,2-1-Tw,Tw,W,Tw-W,Sedge,Bulbostylis spp.,4
1,2021-10-11,2,1,2-1-Tw,Tw,W,Tw-W,Sedge,Cyperus esculentus,4
1,2021-10-11,2,1,2-1-Tw,Tw,W,Tw-W,Forb,Dichondra spp.,3
1,2021-10-11,2,1,2-1-Tw,Tw,W,Tw-W,Forb,Richardia spp.,3
1,2021-10-11,2,2,2-2-C,C,W,C-W,Forb,Crotalaria rotundifolia,6
1,2021-10-11,2,2,2-2-C,C,W,C-W,Forb,Oxalis corniculata,6
1,2021-10-11,2,2,2-2-C,C,W,C-W,Grass,Paspalum setaceum,6
1,2021-10-11,2,2,2-2-C,C,W,C-W,Sedge,Bulbostylis spp.,5
1,2021-10-11,2,2,2-2-C,C,W,C-W,Grass,Paspalum notatum,5
1,2021-10-11,2,2,2-2-C,C,W,C-W,Forb,Dichondra spp.,4
1,2021-10-11,2,2,2-2-C,C,W,C-W,Bare,Bareground,3
1,2021-10-11,2,2,2-2-C,C,W,C-W,Forb,Erigeron canadensis,2
1,2021-10-11,2,2,2-2-C,C,W,C-W,Woody,Baccharis halimifolia,1
1,2021-10-11,2,3,2-3-S,S,W,S-W,Grass,Eragrostis spectabilis,9
1,2021-10-11,2,3,2-3-S,S,W,S-W,Grass,Paspalum setaceum,7
1,2021-10-11,2,3,2-3-S,S,W,S-W,Forb,Crotalaria rotundifolia,6
1,2021-10-11,2,3,2-3-S,S,W,S-W,Forb,Oxalis corniculata,6
1,2021-10-11,2,3,2-3-S,S,W,S-W,Grass,Paspalum notatum,6
1,2021-10-11,2,3,2-3-S,S,W,S-W,Sedge,Bulbostylis spp.,4
1,2021-10-11,2,3,2-3-S,S,W,S-W,Forb,Richardia spp.,4
1,2021-10-11,2,3,2-3-S,S,W,S-W,Sedge,Cyperus esculentus,3
1,2021-10-11,2,3,2-3-S,S,W,S-W,Forb,Dichondra spp.,3
1,2021-10-11,2,3,2-3-S,S,W,S-W,Forb,Pityopsis graminifolia,3
1,2021-10-11,2,3,2-3-S,S,W,S-W,Grass,Andropogon virginicus,2
1,2021-10-11,2,3,2-3-S,S,W,S-W,Bare,Bareground,2
1,2021-10-11,2,3,2-3-S,S,W,S-W,Forb,Liatris gracilis,1
1,2021-10-11,2,4,2-4-Tsp,Tsp,W,Tsp-W,Forb,Dichondra spp.,10
1,2021-10-11,2,4,2-4-Tsp,Tsp,W,Tsp-W,Bare,Bareground,5
1,2021-10-11,2,4,2-4-Tsp,Tsp,W,Tsp-W,Sedge,Cyperus esculentus,5
1,2021-10-11,2,4,2-4-Tsp,Tsp,W,Tsp-W,Forb,Crotalaria rotundifolia,3
1,2021-10-11,2,4,2-4-Tsp,Tsp,W,Tsp-W,Forb,Richardia spp.,3
1,2021-10-11,2,4,2-4-Tsp,Tsp,W,Tsp-W,Sedge,Bulbostylis spp.,2
1,2021-10-11,2,4,2-4-Tsp,Tsp,W,Tsp-W,Grass,Cynodon dactylon,2
1,2021-10-11,2,4,2-4-Tsp,Tsp,W,Tsp-W,Grass,Paspalum notatum,0
1,2021-10-11,2,5,2-5-Tsp,Tsp,W,Tsp-W,Forb,Dichondra spp.,9
1,2021-10-11,2,5,2-5-Tsp,Tsp,W,Tsp-W,Bare,Bareground,7
1,2021-10-11,2,5,2-5-Tsp,Tsp,W,Tsp-W,Grass,Paspalum setaceum,5
1,2021-10-11,2,5,2-5-Tsp,Tsp,W,Tsp-W,Grass,Cynodon dactylon,3
1,2021-10-11,2,5,2-5-Tsp,Tsp,W,Tsp-W,Sedge,Cyperus esculentus,3
1,2021-10-11,2,5,2-5-Tsp,Tsp,W,Tsp-W,Sedge,Bulbostylis spp.,2
1,2021-10-11,2,5,2-5-Tsp,Tsp,W,Tsp-W,Forb,UK - Euphorb,1
1,2021-10-11,2,5,2-5-Tsp,Tsp,W,Tsp-W,Grass,Paspalum notatum,0
1,2021-10-11,2,6,2-6-S,S,W,S-W,Grass,Eragrostis spectabilis,9
1,2021-10-11,2,6,2-6-S,S,W,S-W,Forb,Oxalis corniculata,7
1,2021-10-11,2,6,2-6-S,S,W,S-W,Grass,Paspalum notatum,5
1,2021-10-11,2,6,2-6-S,S,W,S-W,Sedge,Cyperus esculentus,4
1,2021-10-11,2,6,2-6-S,S,W,S-W,Forb,Pityopsis graminifolia,4
1,2021-10-11,2,6,2-6-S,S,W,S-W,Sedge,Bulbostylis spp.,3
1,2021-10-11,2,6,2-6-S,S,W,S-W,Forb,Dichondra spp.,3
1,2021-10-11,2,6,2-6-S,S,W,S-W,Grass,Paspalum setaceum,3
1,2021-10-11,2,6,2-6-S,S,W,S-W,Bare,Bareground,2
1,2021-10-11,2,6,2-6-S,S,W,S-W,Grass,Aristida stricta,1
1,2021-10-11,2,7,2-7-C,C,W,C-W,Forb,Oxalis corniculata,7
1,2021-10-11,2,7,2-7-C,C,W,C-W,Bare,Bareground,5
1,2021-10-11,2,7,2-7-C,C,W,C-W,Grass,Paspalum notatum,5
1,2021-10-11,2,7,2-7-C,C,W,C-W,Grass,Paspalum setaceum,5
1,2021-10-11,2,7,2-7-C,C,W,C-W,Sedge,Bulbostylis spp.,4
1,2021-10-11,2,7,2-7-C,C,W,C-W,Grass,Cynodon dactylon,3
1,2021-10-11,2,7,2-7-C,C,W,C-W,Sedge,Cyperus esculentus,3
1,2021-10-11,2,7,2-7-C,C,W,C-W,Forb,Dichondra spp.,3
1,2021-10-11,2,7,2-7-C,C,W,C-W,Forb,Rumex hastatulus,3
1,2021-10-11,2,8,2-8-S,S,W,S-W,Grass,Eragrostis spectabilis,9
1,2021-10-11,2,8,2-8-S,S,W,S-W,Forb,Crotalaria rotundifolia,6
1,2021-10-11,2,8,2-8-S,S,W,S-W,Forb,Oxalis corniculata,6
1,2021-10-11,2,8,2-8-S,S,W,S-W,Grass,Paspalum setaceum,5
1,2021-10-11,2,8,2-8-S,S,W,S-W,Bare,Bareground,4
1,2021-10-11,2,8,2-8-S,S,W,S-W,Grass,Digitaria spp.,4
1,2021-10-11,2,8,2-8-S,S,W,S-W,Grass,Paspalum notatum,4
1,2021-10-11,2,8,2-8-S,S,W,S-W,Forb,Pityopsis graminifolia,4
1,2021-10-11,2,8,2-8-S,S,W,S-W,Forb,Richardia spp.,4
1,2021-10-11,2,8,2-8-S,S,W,S-W,Sedge,Bulbostylis spp.,3
1,2021-10-11,2,8,2-8-S,S,W,S-W,Sedge,Cyperus esculentus,3
1,2021-10-11,2,8,2-8-S,S,W,S-W,Forb,Dichondra spp.,3
1,2021-10-11,2,8,2-8-S,S,W,S-W,Forb,Liatris gracilis,1
1,2021-10-11,2,9,2-9-Tsp,Tsp,W,Tsp-W,Forb,Dichondra spp.,9
1,2021-10-11,2,9,2-9-Tsp,Tsp,W,Tsp-W,Bare,Bareground,8
1,2021-10-11,2,9,2-9-Tsp,Tsp,W,Tsp-W,Forb,Richardia spp.,4
1,2021-10-11,2,9,2-9-Tsp,Tsp,W,Tsp-W,Grass,Cynodon dactylon,3
1,2021-10-11,2,9,2-9-Tsp,Tsp,W,Tsp-W,Sedge,Cyperus esculentus,3
1,2021-10-11,2,9,2-9-Tsp,Tsp,W,Tsp-W,Grass,Paspalum setaceum,3
1,2021-10-11,2,9,2-9-Tsp,Tsp,W,Tsp-W,Forb,Phyllanthus urinaria,3
1,2021-10-11,2,9,2-9-Tsp,Tsp,W,Tsp-W,Sedge,Bulbostylis spp.,2
1,2021-10-11,2,9,2-9-Tsp,Tsp,W,Tsp-W,Forb,Crotalaria rotundifolia,1
1,2021-10-11,2,9,2-9-Tsp,Tsp,W,Tsp-W,Grass,Paspalum notatum,0
1,2021-10-11,2,10,2-10-C,C,W,C-W,Forb,Oxalis corniculata,6
1,2021-10-11,2,10,2-10-C,C,W,C-W,Grass,Paspalum notatum,6
1,2021-10-11,2,10,2-10-C,C,W,C-W,Bare,Bareground,4
1,2021-10-11,2,10,2-10-C,C,W,C-W,Sedge,Cyperus esculentus,4
1,2021-10-11,2,10,2-10-C,C,W,C-W,Grass,Paspalum setaceum,4
1,2021-10-11,2,10,2-10-C,C,W,C-W,Forb,Rumex hastatulus,4
1,2021-10-11,2,10,2-10-C,C,W,C-W,Sedge,Bulbostylis spp.,3
1,2021-10-11,2,10,2-10-C,C,W,C-W,Forb,Dichondra spp.,3
1,2021-10-11,2,10,2-10-C,C,W,C-W,Forb,Oenothera laciniata,1
1,2021-10-11,2,11,2-11-Tsp,Tsp,W,Tsp-W,Forb,Dichondra spp.,10
1,2021-10-11,2,11,2-11-Tsp,Tsp,W,Tsp-W,Bare,Bareground,6
1,2021-10-11,2,11,2-11-Tsp,Tsp,W,Tsp-W,Sedge,Cyperus esculentus,4
1,2021-10-11,2,11,2-11-Tsp,Tsp,W,Tsp-W,Grass,Paspalum notatum,4
1,2021-10-11,2,11,2-11-Tsp,Tsp,W,Tsp-W,Sedge,Bulbostylis spp.,3
1,2021-10-11,2,11,2-11-Tsp,Tsp,W,Tsp-W,Grass,Cynodon dactylon,3
1,2021-10-11,2,11,2-11-Tsp,Tsp,W,Tsp-W,Forb,Oxalis corniculata,1
1,2021-10-11,2,12,2-12-Tw,Tw,W,Tw-W,Grass,Paspalum notatum,7
1,2021-10-11,2,12,2-12-Tw,Tw,W,Tw-W,Forb,Oxalis corniculata,6
1,2021-10-11,2,12,2-12-Tw,Tw,W,Tw-W,Bare,Bareground,5
1,2021-10-11,2,12,2-12-Tw,Tw,W,Tw-W,Sedge,Bulbostylis spp.,4
1,2021-10-11,2,12,2-12-Tw,Tw,W,Tw-W,Forb,Crotalaria rotundifolia,4
1,2021-10-11,2,12,2-12-Tw,Tw,W,Tw-W,Grass,Cynodon dactylon,4
1,2021-10-11,2,12,2-12-Tw,Tw,W,Tw-W,Grass,Paspalum setaceum,4
1,2021-10-11,2,12,2-12-Tw,Tw,W,Tw-W,Forb,Dichondra spp.,3
1,2021-10-11,2,12,2-12-Tw,Tw,W,Tw-W,Forb,Solanum viarum,1
1,2021-10-11,2,13,2-13-Tw,Tw,W,Tw-W,Grass,Paspalum notatum,8
1,2021-10-11,2,13,2-13-Tw,Tw,W,Tw-W,Forb,Oxalis corniculata,7
1,2021-10-11,2,13,2-13-Tw,Tw,W,Tw-W,Grass,Paspalum setaceum,6
1,2021-10-11,2,13,2-13-Tw,Tw,W,Tw-W,Forb,UK - Mimosa,4
1,2021-10-11,2,13,2-13-Tw,Tw,W,Tw-W,Bare,Bareground,3
1,2021-10-11,2,13,2-13-Tw,Tw,W,Tw-W,Sedge,Cyperus esculentus,3
1,2021-10-11,2,13,2-13-Tw,Tw,W,Tw-W,Forb,Dichondra spp.,3
1,2021-10-11,2,13,2-13-Tw,Tw,W,Tw-W,Sedge,Bulbostylis spp.,2
1,2021-10-11,2,14,2-14-S,S,W,S-W,Grass,Eragrostis spectabilis,9
1,2021-10-11,2,14,2-14-S,S,W,S-W,Forb,Oxalis corniculata,6
1,2021-10-11,2,14,2-14-S,S,W,S-W,Forb,Richardia spp.,5
1,2021-10-11,2,14,2-14-S,S,W,S-W,Sedge,Cyperus esculentus,4
1,2021-10-11,2,14,2-14-S,S,W,S-W,Grass,Paspalum notatum,4
1,2021-10-11,2,14,2-14-S,S,W,S-W,Forb,Pityopsis graminifolia,4
1,2021-10-11,2,14,2-14-S,S,W,S-W,Sedge,Bulbostylis spp.,3
1,2021-10-11,2,14,2-14-S,S,W,S-W,Forb,Dichondra spp.,3
1,2021-10-11,2,14,2-14-S,S,W,S-W,Bare,Bareground,2
1,2021-10-11,2,14,2-14-S,S,W,S-W,Grass,Sorghastrum secundum,1
1,2021-10-11,2,15,2-15-Tw,Tw,W,Tw-W,Grass,Paspalum notatum,8
