Plot,Sub_Plot,Treatment,Fire,ID,Ambrosia artemisiifolia,Bulbostylis spp.,Cyperus rotundus,Dichondra spp.,Digitaria spp.,Gamochaeta spp.,Hedyotis corymbosa,Linaria canadensis,Oenothera laciniata,Oxalis corniculata,Paspalum setaceum,Trifolium repens
6,7,S,Sp,6-7-S,0,0,15,0,0,0,21,5,0,5,0,0
6,8,Tw,Sp,6-8-Tw,0,0,14,0,0,0,23,2,0,2,0,0
6,9,Tw,Sp,6-9-Tw,0,0,24,0,0,0,3,0,0,1,0,0
6,10,Tsp,Sp,6-10-Tsp,1,0,18,1,2,1,18,48,3,2,1,0
6,11,C,Sp,6-11-C,0,0,7,0,0,0,9,0,0,1,0,0
6,12,S,Sp,6-12-S,0,0,11,0,0,0,21,1,0,2,0,1
6,13,C,Sp,6-13-C,0,0,27,0,1,0,6,1,0,0,5,0
6,14,S,Sp,6-14-S,0,1,10,0,0,0,26,2,0,0,0,0
6,15,Tw,Sp,6-15-Tw,0,0,7,0,0,0,17,1,0,2,0,0
6,16,Tsp,Sp,6-16-Tsp,0,0,10,0,0,0,21,15,1,1,0,0
2,1,Tw,W,2-1-Tw,0,0,17,0,0,0,34,0,0,3,1,0
2,2,C,W,2-2-C,0,0,14,0,0,0,31,10,0,2,0,0
2,3,S,W,2-3-S,0,0,18,0,0,0,30,6,0,0,1,0
2,4,Tsp,W,2-4-Tsp,0,0,13,0,0,0,16,6,0,9,2,0
2,5,Tsp,W,2-5-Tsp,0,0,11,0,0,1,19,29,0,10,0,0
2,6,S,W,2-6-S,0,0,17,0,0,0,47,3,0,2,0,0
2,7,Tw,W,2-7-Tw,0,0,12,0,0,0,21,16,0,6,0,0
2,8,S,W,2-8-S,0,0,8,0,0,0,51,3,0,2,0,0
2,9,Tsp,W,2-9-Tsp,1,0,6,0,0,0,25,2,0,3,0,0
2,10,C,W,2-10-C,1,0,22,0,0,0,44,13,0,5,2,0
2,11,Tsp,W,2-11-Tsp,0,0,20,0,0,0,16,5,0,7,1,0
2,12,Tw,W,2-12-Tw,0,0,13,0,0,0,23,10,0,12,2,0
2,13,Tw,W,2-13-Tw,0,3,8,0,0,0,21,3,0,0,0,0
2,14,Tsp,W,2-14-Ts,1,0,19,0,0,0,11,10,0,2,1,0
2,15,Tw,W,2-15-Tw,0,0,18,0,0,0,19,4,0,5,0,0
2,16,C,W,2-16-C,0,2,10,0,0,0,13,3,0,4,0,0
2,14,S,W,2-14-S,1,3,12,0,0,2,35,8,2,1,2,1
4,1,S,W,4-1-S,0,0,10,0,0,0,23,3,0,0,0,0
4,2,Tw,W,4-2-Tw,0,1,15,0,0,0,22,40,0,2,0,0
4,3,C,W,4-3-C,0,0,35,2,0,0,31,7,0,6,0,0
4,4,Tsp,W,4-4-Tsp,0,1,19,1,0,0,2,21,0,19,0,0
4,5,C,W,4-5-C,0,0,28,0,0,0,41,3,0,3,0,0
4,6,S,W,4-6-S,0,1,25,0,0,0,38,5,0,3,0,0
4,7,Tsp,W,4-7-Tsp,0,0,13,0,0,0,12,7,2,17,3,0
4,8,Tw,W,4-8-Tw,0,0,24,0,0,0,53,2,0,1,0,0
4,9,Tw,W,4-9-Tw,0,0,22,0,0,0,37,47,0,0,0,0
4,10,Tsp,W,4-10-Tsp,0,0,20,0,0,0,13,9,1,6,0,0
4,11,S,W,4-11-S,0,0,23,0,0,0,46,0,0,1,0,0
4,12,C,W,4-12-C,0,0,20,0,0,0,32,34,0,0,0,0
4,13,Tsp,W,4-13-Tsp,0,0,24,0,2,0,19,10,0,11,0,0
4,14,C,W,4-14-C,1,0,21,0,0,2,35,2,0,0,1,0
4,15,Tw,W,4-15-Tw,0,0,15,1,0,0,25,4,0,6,0,0
4,16,S,W,4-16-S,1,0,23,0,2,0,39,2,0,2,0,0
